country,state,city,district,zip,price,title,,,,
ID,DKI,DKI Jakarta,Jakarta,,9000,Regular Shipping,,,,
ID,DKI,DKI Jakarta,Jakarta,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Cengkareng ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Cengkareng ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Grogol ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Grogol ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Jakarta Barat,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Jakarta Barat,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Kalideres ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Kalideres ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Kebon Jeruk ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Kebon Jeruk ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Kembangan ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Kembangan ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Palmerah ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Palmerah ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Taman Sari ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Taman Sari ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Barat,Tambora,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Barat,Tambora,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Cakung ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Cakung ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Cipayung ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Cipayung ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Ciracas,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Ciracas,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Duren Sawit ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Duren Sawit ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Jakarta Timur,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Jakarta Timur,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Jatinegara ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Jatinegara ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Kramat Jati ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Kramat Jati ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Makassar ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Makassar ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Matraman ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Matraman ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Pasar Rebo ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Pasar Rebo ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Timur,Pulo Gadung,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Timur,Pulo Gadung,,18000,Express Shipping,,,,
ID,DKI,Jakarta Selatan,Cilandak,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Selatan,Cilandak,,18000,Express Shipping,,,,
ID,DKI,Jakarta Selatan,Jagakarsa ,,9000,Regular Shipping,,,,
ID,DKI,Jakarta Selatan,Jagakarsa ,,18000,Express Shipping,,,,
ID,DKI,Jakarta Selatan,Jakarta Selatan,,9000,Regular Shipping,,,,
